
CommandNotFoundError: Your shell has not been properly configured to use 'conda activate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.


Epoch: 0, Train loss: 52.68387961311218, Train accuracy: 0.6875, Test loss: 1.9411178797483444, Test accuracy: 0.7318840622901917
Epoch: 1, Train loss: 5.595196697096794, Train accuracy: 0.9168013334274292, Test loss: 0.935830819606781, Test accuracy: 0.875
Epoch: 2, Train loss: 3.3061068600210817, Train accuracy: 0.9543269872665405, Test loss: 1.0206197828054429, Test accuracy: 0.953125
Epoch: 3, Train loss: 2.51038765338942, Train accuracy: 0.9791666865348816, Test loss: 1.8280964761972427, Test accuracy: 0.8550724983215332
Epoch: 4, Train loss: 1.8801498972834685, Train accuracy: 0.9663462042808533, Test loss: 0.5477523967623711, Test accuracy: 0.9347826242446899
Epoch: 5, Train loss: 1.8162986180291345, Train accuracy: 0.9791666865348816, Test loss: 2.012378007173538, Test accuracy: 0.984375
Epoch: 6, Train loss: 1.7789974781350257, Train accuracy: 0.97265625, Test loss: 0.9005967877805233, Test accuracy: 0.9202898740768433
Epoch: 7, Train loss: 1.2627158688846976, Train accuracy: 0.984375, Test loss: 1.2851213313639165, Test accuracy: 0.9130434989929199
Epoch: 8, Train loss: 1.2009775781144316, Train accuracy: 0.984375, Test loss: 0.5868385933339596, Test accuracy: 0.96875
Epoch: 9, Train loss: 0.6451615781436723, Train accuracy: 1.0, Test loss: 1.4829701244831086, Test accuracy: 0.9375
Epoch: 10, Train loss: 0.7198457158191536, Train accuracy: 1.0, Test loss: 0.7957718890160322, Test accuracy: 0.9375
Epoch: 11, Train loss: 0.9520984168077867, Train accuracy: 1.0, Test loss: 1.871263174340129, Test accuracy: 0.9583333730697632
Epoch: 12, Train loss: 1.757075190495622, Train accuracy: 1.0, Test loss: 0.5781787797808647, Test accuracy: 1.0
Epoch: 13, Train loss: 1.3698498440834765, Train accuracy: 0.9853515625, Test loss: 0.7259199416264892, Test accuracy: 0.9270833730697632
Epoch: 14, Train loss: 0.558806609410124, Train accuracy: 1.0, Test loss: 1.1949592851102353, Test accuracy: 0.9270833730697632
Epoch: 15, Train loss: 0.6345943576874188, Train accuracy: 1.0, Test loss: 1.2893317257985473, Test accuracy: 0.96875
Epoch: 16, Train loss: 1.039988149236216, Train accuracy: 0.9947916865348816, Test loss: 0.483262930624187, Test accuracy: 0.9492753744125366
Epoch: 17, Train loss: 0.40195669825726116, Train accuracy: 1.0, Test loss: 0.634860248118639, Test accuracy: 0.9583333730697632
Epoch: 18, Train loss: 0.5742126380851588, Train accuracy: 1.0, Test loss: 0.5593098867684603, Test accuracy: 0.9895833730697632
Epoch: 19, Train loss: 0.4196715137218118, Train accuracy: 1.0, Test loss: 0.8911031372845173, Test accuracy: 0.921875
Epoch: 20, Train loss: 0.4902310475460045, Train accuracy: 0.9937500357627869, Test loss: 0.6382312420755625, Test accuracy: 0.9583333730697632
Epoch: 21, Train loss: 0.4223881863113209, Train accuracy: 0.9916667342185974, Test loss: 1.061876646615565, Test accuracy: 0.96875
Epoch: 22, Train loss: 0.8492279001979907, Train accuracy: 1.0, Test loss: 1.0388433125801384, Test accuracy: 1.0
Epoch: 23, Train loss: 0.5689972136706973, Train accuracy: 0.9973958730697632, Test loss: 0.5315156742930413, Test accuracy: 0.96875
Epoch: 24, Train loss: 0.6990277816314633, Train accuracy: 0.9878836870193481, Test loss: 1.423517194762826, Test accuracy: 0.984375
Epoch: 25, Train loss: 0.667434777782033, Train accuracy: 1.0, Test loss: 0.8100702112540603, Test accuracy: 0.9375
Epoch: 26, Train loss: 0.9603759207194134, Train accuracy: 0.9861111044883728, Test loss: 0.45830193981528283, Test accuracy: 0.953125
Epoch: 27, Train loss: 0.5999521391663271, Train accuracy: 0.9912499785423279, Test loss: 0.8939157478511334, Test accuracy: 0.96875
Epoch: 28, Train loss: 0.19996578714862304, Train accuracy: 1.0, Test loss: 0.7598643481731415, Test accuracy: 0.9583333730697632
Epoch: 29, Train loss: 0.7423339937074791, Train accuracy: 1.0, Test loss: 0.6325287817977369, Test accuracy: 0.9791666865348816
Epoch: 30, Train loss: 0.12376286417782886, Train accuracy: 1.0, Test loss: 1.2206499993801116, Test accuracy: 0.9479166865348816
Epoch: 31, Train loss: 0.09819526430865722, Train accuracy: 1.0, Test loss: 1.8591180741786957, Test accuracy: 0.9375
Epoch: 32, Train loss: 0.2030917575048079, Train accuracy: 1.0, Test loss: 1.1922841012477874, Test accuracy: 0.9583333730697632
Epoch: 33, Train loss: 0.4985973385135786, Train accuracy: 1.0, Test loss: 0.9152688359841704, Test accuracy: 0.96875
Epoch: 34, Train loss: 0.5975252001308269, Train accuracy: 1.0, Test loss: 0.8548171660862863, Test accuracy: 0.96875
Epoch: 35, Train loss: 0.19357949302148206, Train accuracy: 1.0, Test loss: 1.2334931370336562, Test accuracy: 0.9895833730697632
Epoch: 36, Train loss: 0.13007092092070358, Train accuracy: 1.0, Test loss: 0.6297195859777276, Test accuracy: 1.0
Epoch: 37, Train loss: 0.5906292021047707, Train accuracy: 1.0, Test loss: 0.8663119502365589, Test accuracy: 0.9791666865348816
Epoch: 38, Train loss: 0.33701391443518774, Train accuracy: 1.0, Test loss: 0.38365189731121063, Test accuracy: 0.9637681245803833
Epoch: 39, Train loss: 0.34598384310214525, Train accuracy: 1.0, Test loss: 0.6774935685098171, Test accuracy: 0.96875
Epoch: 40, Train loss: 0.4087947940853878, Train accuracy: 1.0, Test loss: 1.2549678348004818, Test accuracy: 0.984375
Epoch: 41, Train loss: 0.3566445997113568, Train accuracy: 1.0, Test loss: 1.4487480163574218, Test accuracy: 0.96875
Epoch: 42, Train loss: 0.3095136285848686, Train accuracy: 1.0, Test loss: 0.6474184401333332, Test accuracy: 0.9637681245803833
Epoch: 43, Train loss: 1.1010646835485927, Train accuracy: 1.0, Test loss: 0.9765775144100189, Test accuracy: 0.984375
Epoch: 44, Train loss: 0.27988908877607455, Train accuracy: 1.0, Test loss: 0.5643634493462741, Test accuracy: 0.984375
Epoch: 45, Train loss: 0.017768646608286733, Train accuracy: 1.0, Test loss: 0.5695560861378908, Test accuracy: 0.9791666865348816
Epoch: 46, Train loss: 0.04455296654188528, Train accuracy: 1.0, Test loss: 1.0042885258619207, Test accuracy: 0.9791666865348816
Epoch: 47, Train loss: 0.14390993496043591, Train accuracy: 1.0, Test loss: 1.360443663597107, Test accuracy: 0.9479166865348816
Epoch: 48, Train loss: 0.43015406583228283, Train accuracy: 1.0, Test loss: 0.792653301358223, Test accuracy: 0.9420289993286133
Epoch: 49, Train loss: 1.0419945645023687, Train accuracy: 0.9895833730697632, Test loss: 0.6601728619541973, Test accuracy: 0.96875
Top-1 train accuracy:  1.0
Top-1 test accuracy:  1.0
