
CommandNotFoundError: Your shell has not been properly configured to use 'conda activate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.


Epoch: 0, Train loss: 71.51443373087125, Train accuracy: 0.5390625, Test loss: 2.0339571475982665, Test accuracy: 0.65625
Epoch: 1, Train loss: 13.957166133782803, Train accuracy: 0.53125, Test loss: 2.1401270627975464, Test accuracy: 0.5072463750839233
Epoch: 2, Train loss: 13.21774897361413, Train accuracy: 0.6376689076423645, Test loss: 1.733318555355072, Test accuracy: 0.8125
Epoch: 3, Train loss: 10.324566034170298, Train accuracy: 0.875, Test loss: 1.6466549634933472, Test accuracy: 0.9375
Epoch: 4, Train loss: 8.071387471201328, Train accuracy: 0.8616071343421936, Test loss: 1.5089407324790955, Test accuracy: 0.828125
Epoch: 5, Train loss: 5.499964658935101, Train accuracy: 0.96875, Test loss: 0.8314280688762665, Test accuracy: 0.9375
Epoch: 6, Train loss: 3.2412509319300833, Train accuracy: 0.9602273106575012, Test loss: 0.8738641649484634, Test accuracy: 0.9166666865348816
Epoch: 7, Train loss: 5.1460339501261325, Train accuracy: 0.96875, Test loss: 2.035649395175278, Test accuracy: 0.984375
Epoch: 8, Train loss: 3.440927984001927, Train accuracy: 0.9591346383094788, Test loss: 0.6777855664491653, Test accuracy: 0.9375
Epoch: 9, Train loss: 2.781109175620935, Train accuracy: 0.96875, Test loss: 1.4680916234850883, Test accuracy: 0.96875
Epoch: 10, Train loss: 3.539475424716679, Train accuracy: 0.9635416865348816, Test loss: 0.8143211141228676, Test accuracy: 0.9296875
Epoch: 11, Train loss: 3.142204422909671, Train accuracy: 1.0, Test loss: 0.6475892491638661, Test accuracy: 0.96875
Epoch: 12, Train loss: 3.3496879503512993, Train accuracy: 0.9491115212440491, Test loss: 1.1556089153513311, Test accuracy: 0.9296875
Epoch: 13, Train loss: 2.328360297967895, Train accuracy: 1.0, Test loss: 1.7077624477446078, Test accuracy: 0.96875
Epoch: 14, Train loss: 4.226938533716095, Train accuracy: 1.0, Test loss: 0.6561975345015526, Test accuracy: 0.9420289993286133
Epoch: 15, Train loss: 2.6068380054277487, Train accuracy: 0.96875, Test loss: 1.7561045646667481, Test accuracy: 0.8203125
Epoch: 16, Train loss: 3.146003612030584, Train accuracy: 0.9596123099327087, Test loss: 0.5050086423754692, Test accuracy: 0.96875
Epoch: 17, Train loss: 2.2748910429803892, Train accuracy: 0.973437488079071, Test loss: 0.7617749571800232, Test accuracy: 0.96875
Epoch: 18, Train loss: 2.9442760228561475, Train accuracy: 0.96875, Test loss: 0.5977396886795759, Test accuracy: 0.921875
Epoch: 19, Train loss: 2.774516244084598, Train accuracy: 0.9539580345153809, Test loss: 1.0248554475605487, Test accuracy: 1.0
Epoch: 20, Train loss: 1.8996462049440315, Train accuracy: 1.0, Test loss: 1.0006327029317617, Test accuracy: 1.0
Epoch: 21, Train loss: 1.5907099089370325, Train accuracy: 0.987500011920929, Test loss: 0.6410551413893699, Test accuracy: 0.984375
Epoch: 22, Train loss: 2.081714136263308, Train accuracy: 0.9713541865348816, Test loss: 0.40084327608346937, Test accuracy: 0.96875
Epoch: 23, Train loss: 1.2016973302293665, Train accuracy: 0.9947916865348816, Test loss: 0.5824545793235302, Test accuracy: 0.984375
Epoch: 24, Train loss: 1.8889181454642079, Train accuracy: 0.984375, Test loss: 0.5540102005004883, Test accuracy: 0.9583333730697632
Epoch: 25, Train loss: 1.581226675253278, Train accuracy: 1.0, Test loss: 0.8824316492653452, Test accuracy: 0.984375
Epoch: 26, Train loss: 2.0623711355937977, Train accuracy: 1.0, Test loss: 0.20089921951293946, Test accuracy: 0.984375
