
CommandNotFoundError: Your shell has not been properly configured to use 'conda activate'.
To initialize your shell, run

    $ conda init <SHELL_NAME>

Currently supported shells are:
  - bash
  - fish
  - tcsh
  - xonsh
  - zsh
  - powershell

See 'conda init --help' for more information and options.

IMPORTANT: You may need to close and restart your shell after running 'conda init'.


Epoch: 0, Train loss: 85.31752776029782, Train accuracy: 0.515625, Test loss: 2.1502116918563843, Test accuracy: 0.90625
Epoch: 1, Train loss: 13.419153376267506, Train accuracy: 0.6470113396644592, Test loss: 1.6624212324619294, Test accuracy: 0.84375
Epoch: 2, Train loss: 9.67143015219615, Train accuracy: 0.8140625357627869, Test loss: 1.6202867388725282, Test accuracy: 0.921875
Epoch: 3, Train loss: 7.878406224724574, Train accuracy: 0.875, Test loss: 1.8212130218744278, Test accuracy: 0.765625
Epoch: 4, Train loss: 8.13510430050202, Train accuracy: 0.859375, Test loss: 1.2139561891555786, Test accuracy: 0.875
Epoch: 5, Train loss: 6.239836452863155, Train accuracy: 0.90625, Test loss: 1.4748639285564422, Test accuracy: 0.828125
Epoch: 6, Train loss: 6.999341672811752, Train accuracy: 0.8897058963775635, Test loss: 0.8710278123617172, Test accuracy: 0.8840579986572266
Epoch: 7, Train loss: 5.067197170013037, Train accuracy: 0.9375, Test loss: 1.0791122391819954, Test accuracy: 0.9270833730697632
Epoch: 8, Train loss: 5.867401062200467, Train accuracy: 0.921875, Test loss: 1.081571787595749, Test accuracy: 0.921875
Epoch: 9, Train loss: 4.089577695163778, Train accuracy: 0.9226973652839661, Test loss: 0.8797568351030349, Test accuracy: 0.9140625
Epoch: 10, Train loss: 2.625358626389733, Train accuracy: 0.9687500596046448, Test loss: 1.43834148645401, Test accuracy: 0.875
Epoch: 11, Train loss: 3.7980849785395923, Train accuracy: 0.96875, Test loss: 0.9015300080180169, Test accuracy: 0.9057971239089966
Epoch: 12, Train loss: 3.4835569044240775, Train accuracy: 0.9386160969734192, Test loss: 0.9681538105010986, Test accuracy: 0.875
Epoch: 13, Train loss: 3.7397994768972964, Train accuracy: 0.96875, Test loss: 2.060265727341175, Test accuracy: 0.96875
Epoch: 14, Train loss: 3.6948133217027554, Train accuracy: 0.953125, Test loss: 1.1197721838951111, Test accuracy: 0.953125
Epoch: 15, Train loss: 2.1105914867172637, Train accuracy: 0.9715909361839294, Test loss: 0.9123540639877319, Test accuracy: 0.8828125
Epoch: 16, Train loss: 2.6908375084018097, Train accuracy: 0.9588815569877625, Test loss: 0.6908362030982971, Test accuracy: 0.921875
Epoch: 17, Train loss: 1.6717164752204927, Train accuracy: 1.0, Test loss: 0.6416448175907135, Test accuracy: 0.96875
